iter	RMSE
0	442.490314
1	440.4621805
2	438.5132091
3	436.2180377
4	434.0461579
5	431.843777
6	430.1594587
7	428.094183
8	426.0998774
9	424.0249067
10	422.1921868
11	420.2506764
12	418.3116383
13	416.2966847
14	414.5776175
15	412.8009394
16	410.9774146
17	409.1047417
18	407.6243957
19	405.9072209
20	404.25662
21	402.5329859
22	400.6495607
23	398.8468643
24	397.0329195
25	395.4747968
26	393.7206925
27	392.2904125
28	390.5630617
29	389.147937
30	387.60307
31	386.0164157
32	384.1076046
33	382.3830744
34	380.598756
35	379.0931667
36	377.6455643
37	376.0951499
38	374.6596684
39	372.8982744
40	371.4430906
41	370.1346896
42	368.3409801
43	366.9161522
44	365.5390053
45	364.015671
46	362.568824
47	361.0766459
48	359.4068914
49	358.026484
50	356.6569261
51	355.3295581
52	353.7981543
53	352.3857927
54	351.017063
55	349.5583299
56	348.3551914
57	347.0770426
58	345.9005401
59	344.5492739
60	343.4861303
61	342.1246162
62	340.6842766
63	339.3315019
64	337.8521507
65	336.5759989
66	335.2858902
67	334.0030235
68	332.7313763
69	331.5974885
70	330.5354149
71	329.3024752
72	328.053482
73	326.9395455
74	325.5288974
75	324.3277188
76	323.0868571
77	321.8690017
78	320.9509169
79	319.8700363
80	318.4920699
81	317.4778062
82	316.3636635
83	315.1041604
84	314.0018701
85	312.8242118
86	311.7133822
87	310.6125773
88	309.593407
89	308.6035314
90	307.4645756
91	306.335962
92	305.3546576
93	304.3497567
94	303.3926155
95	302.1234778
96	300.874806
97	299.8192745
98	298.8369756
99	297.8913508
100	296.8220741
101	295.859124
102	295.0212733
103	293.971255
104	292.8563786
105	291.8182216
106	290.8176654
107	289.938397
108	288.7005005
109	287.7512562
110	286.8929047
111	285.9704538
112	284.905716
113	284.1826027
114	283.1170272
115	282.0680805
116	281.2294931
117	280.2761021
118	279.4292163
119	278.5105683
120	277.6361767
121	276.8037869
122	276.0239867
123	275.1795488
124	274.3292722
125	273.4198837
126	272.5973891
127	271.8101515
128	270.9025424
129	270.0364886
130	269.0385322
131	268.1937827
132	267.4049794
133	266.6338446
134	265.8071481
135	264.8647141
136	264.1327683
137	263.2736152
138	262.3035083
139	261.5548509
140	260.6810614
141	259.9520565
142	259.163794
143	258.4748956
144	257.7311746
145	256.9606337
146	256.3518311
147	255.504933
148	254.723885
149	253.8840501
150	253.0754983
151	252.245375
152	251.5607633
153	250.9442552
154	250.1822151
155	249.4448988
156	248.7637093
157	248.1165411
158	247.4318005
159	246.6414875
160	245.9710878
161	245.2531651
162	244.3669394
163	243.5127155
164	242.7095888
165	242.037674
166	241.2252825
167	240.5849477
168	239.7800585
169	239.1427178
170	238.5203908
171	237.7975333
172	237.3602037
173	236.6786338
174	236.020221
175	235.3476701
176	234.6718452
177	233.8885269
178	233.1892495
179	232.5527509
180	231.9618575
181	231.3342102
182	230.7244333
183	230.1436842
184	229.5095318
185	228.8917327
186	228.263669
187	227.6023563
188	227.0846972
189	226.4545281
190	225.898166
191	225.3663235
192	224.7996893
193	224.2439337
194	223.6864443
195	223.1405707
196	222.4965559
197	221.9452309
198	221.4075421
199	220.9138
200	220.2814328
201	219.7271414
202	219.0639244
203	218.5511022
204	217.9711002
205	217.3549902
206	216.7889932
207	216.220559
208	215.6895196
209	215.2548655
210	214.710047
211	214.2061464
212	213.548271
213	212.8613587
214	212.3889286
215	211.8185385
216	211.2312973
217	210.7943745
218	210.2568387
219	209.7727138
220	209.1975976
221	208.6518502
222	208.0848359
223	207.5653417
224	207.0889476
225	206.5395348
226	206.0553523
227	205.5889803
228	205.0714861
229	204.5544095
230	204.0935341
231	203.6125901
232	203.1118684
233	202.5410613
234	202.1050306
235	201.6835883
236	201.0931833
237	200.5308519
238	199.9954391
239	199.518661
240	199.1093141
241	198.5746018
242	198.1383407
243	197.6916411
244	197.255178
245	196.7330181
246	196.2732548
247	195.8560885
248	195.3700247
249	194.8895663
250	194.4447238
251	194.0613196
252	193.6425545
253	193.1783742
254	192.7465667
255	192.2967688
256	191.8804441
257	191.5090531
258	191.0455241
259	190.5804047
260	190.1987326
261	189.7387514
262	189.3892566
263	189.0069465
264	188.4735789
265	188.003199
266	187.5569533
267	187.1365168
268	186.7058257
269	186.1952995
270	185.749574
271	185.3045224
272	184.8921259
273	184.4895175
274	184.0222103
275	183.675347
276	183.2042526
277	182.8313521
278	182.3888084
279	181.9538677
280	181.5607928
281	181.1039348
282	180.7529046
283	180.3997023
284	180.0141712
285	179.6375708
286	179.2345343
287	178.9004867
288	178.5862608
289	178.2396298
290	177.9499185
291	177.5526593
292	177.1892667
293	176.8020321
294	176.4232131
295	175.9384562
296	175.6193802
297	175.2247348
298	174.8764605
299	174.5204292
300	174.0633517
301	173.7184992
302	173.3976789
303	172.989905
304	172.5800821
305	172.1916259
306	171.891387
307	171.5417261
308	171.0865354
309	170.7327916
310	170.33558
311	169.9860064
312	169.6906788
313	169.3012355
314	168.9427924
315	168.5765852
316	168.1591336
317	167.819809
318	167.4951136
319	167.1549055
320	166.7758168
321	166.3745536
322	165.9563514
323	165.604804
324	165.2834172
325	164.8962448
326	164.6262569
327	164.3714077
328	164.0279276
329	163.695066
330	163.3639374
331	162.9850439
332	162.6397263
333	162.2688052
334	161.9076209
335	161.6145358
336	161.3414894
337	161.023512
338	160.6820811
339	160.3057652
340	160.0320295
341	159.6741706
342	159.3518416
343	159.0765202
344	158.760769
345	158.4724676
346	158.1550684
347	157.8540023
348	157.592196
349	157.2876258
350	156.8871771
351	156.5229626
352	156.2202617
353	155.900709
354	155.6211303
355	155.2069077
356	154.8844414
357	154.5605465
358	154.2448718
359	153.9630957
360	153.6481181
361	153.3492313
362	152.9803592
363	152.6794712
364	152.4379058
365	152.1454105
366	151.8252785
367	151.5007582
368	151.1959273
369	150.9388387
370	150.625955
371	150.3672724
372	150.0303144
373	149.7601184
374	149.4798282
375	149.1602823
376	148.8723587
377	148.5930346
378	148.3357258
379	147.9721446
380	147.6840472
381	147.3333187
382	147.0059042
383	146.7159886
384	146.4595326
385	146.2297844
386	145.9646759
387	145.5680719
388	145.2972467
389	144.9896418
390	144.7053091
391	144.5244424
392	144.2368494
393	143.9436266
394	143.6104806
395	143.240976
396	142.9205477
397	142.5621441
398	142.3202696
399	142.0090832
400	141.7341676
401	141.4697784
402	141.237869
403	140.9564685
404	140.6286408
405	140.3455536
406	140.0538746
407	139.8066967
408	139.6094779
409	139.3036004
410	139.0291013
411	138.719504
412	138.4183834
413	138.1022609
414	137.820708
415	137.5729655
416	137.3495917
417	137.0422472
418	136.8214494
419	136.5076515
420	136.3585909
421	136.0875931
422	135.8127148
423	135.5266643
424	135.2749632
425	134.9955325
426	134.842638
427	134.6366142
428	134.4447638
429	134.1758603
430	133.9419536
431	133.7532787
432	133.5492117
433	133.2563576
434	133.0481736
435	132.7525624
436	132.4521937
437	132.2383939
438	132.0642229
439	131.801304
440	131.5727053
441	131.364044
442	131.1310529
443	130.8932823
444	130.6886984
445	130.4973668
446	130.295752
447	130.0725013
448	129.8443323
449	129.684538
450	129.4355077
451	129.2839419
452	129.100545
453	128.8308564
454	128.5394744
455	128.3202027
456	128.0629767
457	127.7697386
458	127.5861938
459	127.3608372
460	127.1990907
461	126.9800344
462	126.7419781
463	126.5239001
464	126.3470799
465	126.1115795
466	125.9141714
467	125.7057646
468	125.5275874
469	125.3814207
470	125.1846902
471	124.9618558
472	124.805901
473	124.6679543
474	124.4351701
475	124.1850043
476	124.0107814
477	123.766272
478	123.5309899
479	123.4672046
480	123.2897002
481	123.0033119
482	122.8439888
483	122.6800623
484	122.4535577
485	122.1891223
486	121.9669599
487	121.7743559
488	121.5473929
489	121.3481257
490	121.1925265
491	120.9540115
492	120.8069064
493	120.6126132
494	120.4349949
495	120.2533516
496	120.0348841
497	119.7489266
498	119.6030455
499	119.4692821
