iter	Passed	Remaining
0	13	6626
1	16	4187
2	20	3459
3	23	2906
4	25	2534
5	27	2265
6	29	2073
7	31	1934
8	33	1849
9	34	1690
10	36	1621
11	38	1567
12	41	1561
13	44	1530
14	46	1501
15	49	1489
16	53	1525
17	57	1535
18	59	1511
19	61	1485
20	64	1474
21	67	1465
22	70	1456
23	72	1440
24	75	1428
25	77	1413
26	80	1402
27	82	1388
28	84	1375
29	87	1366
30	89	1355
31	92	1347
32	95	1345
33	97	1335
34	99	1324
35	101	1313
36	104	1307
37	106	1300
38	109	1296
39	112	1288
40	114	1279
41	116	1269
42	118	1261
43	120	1253
44	123	1246
45	125	1238
46	127	1230
47	129	1223
48	132	1216
49	134	1209
50	136	1202
51	138	1197
52	141	1191
53	143	1185
54	145	1179
55	148	1174
56	150	1168
57	152	1162
58	154	1157
59	157	1151
60	159	1146
61	161	1140
62	163	1135
63	165	1130
64	168	1127
65	170	1123
66	172	1117
67	175	1113
68	177	1108
69	179	1103
70	181	1099
71	184	1094
72	186	1089
73	188	1085
74	190	1080
75	192	1075
76	194	1071
77	197	1067
78	199	1064
79	201	1060
80	204	1056
81	206	1052
82	208	1049
83	211	1045
84	213	1044
85	216	1041
86	218	1037
87	220	1034
88	223	1031
89	225	1029
90	228	1026
91	231	1025
92	233	1023
93	236	1021
94	239	1019
95	241	1016
96	244	1014
97	246	1011
98	248	1008
99	251	1005
100	253	1002
101	255	998
102	258	998
103	261	994
104	263	990
105	265	987
106	267	983
107	269	977
108	271	973
109	273	970
110	276	967
111	278	964
112	280	960
113	282	957
114	285	955
115	288	953
116	290	951
117	292	948
118	295	945
119	297	942
120	300	939
121	302	938
122	305	935
123	307	932
124	309	929
125	312	926
126	314	923
127	317	921
128	319	919
129	321	916
130	324	913
131	326	910
132	328	907
133	331	904
134	333	902
135	336	899
136	338	896
137	340	893
138	343	890
139	345	888
140	347	885
141	350	883
142	352	879
143	354	876
144	356	873
145	359	871
146	361	868
147	364	865
148	366	863
149	368	860
150	370	857
151	373	854
152	375	851
153	378	849
154	380	847
155	383	845
156	385	842
157	388	839
158	390	837
159	392	834
160	395	831
161	397	829
162	399	826
163	402	823
164	404	820
165	406	818
166	409	816
167	412	814
168	414	812
169	416	809
170	419	806
171	422	805
172	422	799
173	425	798
174	428	795
175	431	793
176	433	791
177	436	788
178	438	787
179	441	784
180	443	781
181	445	779
182	448	776
183	450	773
184	453	771
185	455	769
186	457	766
187	460	763
188	462	761
189	464	758
190	467	756
191	470	754
192	472	751
193	474	749
194	477	746
195	479	744
196	482	741
197	484	738
198	486	736
199	489	733
200	491	730
201	493	728
202	496	725
203	498	723
204	500	720
205	502	717
206	505	714
207	505	710
208	508	707
209	510	704
210	513	702
211	515	700
212	517	697
213	520	695
214	522	692
215	524	690
216	527	688
217	530	685
218	532	683
219	534	680
220	537	678
221	539	675
222	541	673
223	544	670
224	546	668
225	549	665
226	551	663
227	553	660
228	556	658
229	559	656
230	561	653
231	564	651
232	566	649
233	569	646
234	571	644
235	574	642
236	576	639
237	579	637
238	581	635
239	584	633
240	586	630
241	589	628
242	591	625
243	594	623
244	596	620
245	598	618
246	601	616
247	604	613
248	606	611
249	608	608
250	611	606
251	613	603
252	616	601
253	619	599
254	621	597
255	624	594
256	626	592
257	629	590
258	631	587
259	634	585
260	636	583
261	639	580
262	641	578
263	643	575
264	646	573
265	648	570
266	651	568
267	653	565
268	655	563
269	658	560
270	675	570
271	677	567
272	679	564
273	681	561
274	683	558
275	684	555
276	686	552
277	688	550
278	690	547
279	692	544
280	694	541
281	696	538
282	698	535
283	700	533
284	702	530
285	705	527
286	708	525
287	710	522
288	712	520
289	714	517
290	716	514
291	719	512
292	721	509
293	723	507
294	726	504
295	728	502
296	731	499
297	733	497
298	736	494
299	738	492
300	741	490
301	743	487
302	746	485
303	749	482
304	751	480
305	754	478
306	757	475
307	759	473
308	762	471
309	764	468
310	767	466
311	769	463
312	772	461
313	775	459
314	777	456
315	780	454
316	782	451
317	784	449
318	787	446
319	789	444
320	792	441
321	794	439
322	796	436
323	799	434
324	801	431
325	803	429
326	806	426
327	808	424
328	811	421
329	813	419
330	816	416
331	817	413
332	820	411
333	822	408
334	825	406
335	828	404
336	830	401
337	833	399
338	836	397
339	838	394
340	840	391
341	843	389
342	845	387
343	847	384
344	850	382
345	853	379
346	855	377
347	857	374
348	860	372
349	862	369
350	864	367
351	867	364
352	869	362
353	871	359
354	874	357
355	876	354
356	878	352
357	881	349
358	883	347
359	886	344
360	888	342
361	890	339
362	893	337
363	895	334
364	897	332
365	900	329
366	902	327
367	904	324
368	906	321
369	909	319
370	911	316
371	914	314
372	916	312
373	918	309
374	921	307
375	923	304
376	926	302
377	928	299
378	931	297
379	933	294
380	936	292
381	938	289
382	940	287
383	943	285
384	946	282
385	949	280
386	951	277
387	954	275
388	956	273
389	959	270
390	962	268
391	964	265
392	967	263
393	969	260
394	971	258
395	974	255
396	976	253
397	979	250
398	981	248
399	984	246
400	987	243
401	989	241
402	992	238
403	994	236
404	997	233
405	999	231
406	1002	229
407	1005	226
408	1007	224
409	1010	221
410	1012	219
411	1015	216
412	1017	214
413	1020	211
414	1022	209
415	1025	207
416	1027	204
417	1030	202
418	1033	199
419	1035	197
420	1038	194
421	1040	192
422	1043	189
423	1046	187
424	1048	185
425	1050	182
426	1053	180
427	1055	177
428	1058	175
429	1061	172
430	1063	170
431	1065	167
432	1068	165
433	1070	162
434	1072	160
435	1075	157
436	1077	155
437	1080	152
438	1082	150
439	1084	147
440	1087	145
441	1090	143
442	1092	140
443	1094	138
444	1097	135
445	1099	133
446	1101	130
447	1104	128
448	1107	125
449	1109	123
450	1111	120
451	1114	118
452	1116	115
453	1118	113
454	1121	110
455	1123	108
456	1125	105
457	1128	103
458	1130	100
459	1133	98
460	1135	96
461	1138	93
462	1140	91
463	1143	88
464	1146	86
465	1148	83
466	1151	81
467	1153	78
468	1156	76
469	1158	73
470	1161	71
471	1163	69
472	1166	66
473	1168	64
474	1170	61
475	1173	59
476	1175	56
477	1178	54
478	1180	51
479	1182	49
480	1185	46
481	1187	44
482	1190	41
483	1192	39
484	1195	36
485	1197	34
486	1199	32
487	1202	29
488	1204	27
489	1207	24
490	1209	22
491	1212	19
492	1214	17
493	1217	14
494	1219	12
495	1221	9
496	1224	7
497	1226	4
498	1228	2
499	1229	0
