iter	Logloss
0	0.6636617691
1	0.6408477413
2	0.6193119281
3	0.6057018544
4	0.589949879
5	0.5755574323
6	0.5581995794
7	0.5460748829
8	0.5350339183
9	0.5267558167
10	0.5192650417
11	0.5105103616
12	0.5015760619
13	0.4923129042
14	0.4849222245
15	0.4798209096
16	0.473369821
17	0.4660859308
18	0.4626830999
19	0.4574138543
20	0.4545132146
21	0.4510584716
22	0.447978517
23	0.4438532849
24	0.4404699013
25	0.4361822027
26	0.4326846144
27	0.4290200473
28	0.4266868942
29	0.4233061418
30	0.420332833
31	0.4179666514
32	0.4152012601
33	0.413800384
34	0.411880588
35	0.4101119028
36	0.4068550244
37	0.4041185377
38	0.4013993378
39	0.3982495879
40	0.3951231444
41	0.3926018808
42	0.3906132412
43	0.3894557002
44	0.3874129826
45	0.3851276705
46	0.3826527883
47	0.3804196973
48	0.378496137
49	0.3771800224
50	0.3747842307
51	0.3723445609
52	0.3707565362
53	0.3690674667
54	0.3676893461
55	0.3658830502
56	0.3643913639
57	0.3630827007
58	0.3614058996
59	0.3599321888
60	0.3584811164
61	0.3567200996
62	0.3546779761
63	0.3532370515
64	0.3514228068
65	0.3498426874
66	0.3492939784
67	0.3471332114
68	0.3446000647
69	0.3431270634
70	0.3414903892
71	0.3395580717
72	0.3380910237
73	0.3374302866
74	0.3367193803
75	0.3354610997
76	0.3342733626
77	0.3332645845
78	0.3314628418
79	0.3307907508
80	0.3294163987
81	0.3286557999
82	0.327117606
83	0.3259219079
84	0.3249873173
85	0.3230753814
86	0.3214796913
87	0.320096581
88	0.318543027
89	0.3170409768
90	0.3153690081
91	0.3147242966
92	0.3134571384
93	0.3127621851
94	0.3117494652
95	0.31096058
96	0.3098435204
97	0.308778367
98	0.308302225
99	0.3072279656
100	0.306501819
101	0.3051894101
102	0.3043219878
103	0.3038196568
104	0.3030115239
105	0.301927578
106	0.3012739681
107	0.2990155669
108	0.2981669987
109	0.2965546303
110	0.2952390774
111	0.2943224799
112	0.2938109463
113	0.2927183519
114	0.2919673184
115	0.2911677959
116	0.2897712794
117	0.2886131462
118	0.2863207775
119	0.2856400137
120	0.2850995249
121	0.2845013572
122	0.2827896955
123	0.2807633175
124	0.2798847063
125	0.279486929
126	0.2776501799
127	0.2764393815
128	0.2760323684
129	0.2752909579
130	0.2745284555
131	0.273693225
132	0.2726920114
133	0.2711205479
134	0.2705439508
135	0.2700430853
136	0.2682554838
137	0.2679467232
138	0.2669908849
139	0.2663655997
140	0.2657846427
141	0.2647715725
142	0.2638812835
143	0.2629680339
144	0.2622767293
145	0.2611028265
146	0.2602896339
147	0.2597249659
148	0.2592422788
149	0.2590921472
150	0.2580061067
151	0.2572445597
152	0.2565640932
153	0.2563344278
154	0.2561315771
155	0.2553068287
156	0.2533467739
157	0.2532324901
158	0.2527330965
159	0.2513169692
160	0.2500943015
161	0.2498733856
162	0.2487862874
163	0.2483486808
164	0.2474542638
165	0.2470066606
166	0.2468507531
167	0.2464316018
168	0.246078492
169	0.2444773119
170	0.242569864
171	0.241388582
172	0.2401564733
173	0.2396050068
174	0.2383069799
175	0.2370397604
176	0.2369914287
177	0.236500101
178	0.2349224125
179	0.2337971874
180	0.2331570203
181	0.2312905213
182	0.2298013385
183	0.2282756769
184	0.2266798362
185	0.2252704789
186	0.2237569398
187	0.2234672867
188	0.2218389008
189	0.220778177
190	0.220648673
191	0.220241144
192	0.2197846827
193	0.2192352153
194	0.2184467367
195	0.2178436787
196	0.2172466056
197	0.2165200827
198	0.2154040754
199	0.2140242006
