iter	Passed	Remaining
0	2	410
1	3	342
2	4	308
3	6	294
4	7	285
5	8	271
6	9	269
7	10	263
8	12	261
9	13	263
10	15	262
11	16	259
12	17	256
13	19	254
14	20	252
15	21	252
16	23	251
17	24	250
18	26	250
19	27	251
20	29	252
21	31	252
22	32	252
23	34	251
24	35	250
25	37	251
26	39	250
27	40	250
28	42	249
29	43	248
30	45	247
31	47	247
32	48	246
33	50	245
34	52	245
35	53	244
36	55	244
37	57	243
38	58	243
39	60	242
40	62	241
41	63	240
42	65	239
43	67	238
44	68	237
45	70	236
46	72	235
47	74	234
48	75	233
49	77	232
50	79	231
51	80	230
52	82	228
53	84	227
54	86	227
55	87	226
56	89	224
57	91	223
58	92	222
59	94	220
60	96	219
61	97	217
62	99	216
63	101	214
64	102	213
65	104	211
66	105	210
67	107	208
68	109	207
69	110	205
70	112	204
71	114	202
72	115	201
73	117	200
74	119	198
75	120	196
76	122	195
77	123	193
78	125	192
79	126	190
80	128	188
81	130	187
82	131	185
83	133	184
84	135	182
85	136	181
86	138	179
87	140	178
88	141	176
89	143	175
90	144	173
91	146	172
92	148	170
93	149	169
94	151	167
95	153	165
96	154	164
97	156	162
98	157	160
99	159	159
100	161	157
101	162	156
102	164	154
103	165	153
104	167	151
105	168	149
106	170	148
107	172	146
108	173	145
109	175	143
110	177	141
111	178	140
112	180	138
113	181	137
114	183	135
115	185	134
116	186	132
117	188	130
118	190	129
119	191	127
120	193	126
121	194	124
122	196	123
123	198	121
124	199	119
125	201	118
126	203	116
127	205	115
128	207	114
129	209	112
130	210	111
131	212	109
132	214	108
133	216	106
134	217	104
135	219	103
136	221	101
137	223	100
138	225	98
139	227	97
140	228	95
141	230	94
142	232	92
143	234	91
144	235	89
145	237	87
146	239	86
147	241	84
148	243	83
149	244	81
150	246	79
151	248	78
152	250	76
153	251	75
154	253	73
155	255	71
156	257	70
157	258	68
158	260	67
159	263	65
160	264	64
161	266	62
162	268	60
163	270	59
164	271	57
165	273	56
166	275	54
167	276	52
168	278	51
169	280	49
170	282	47
171	283	46
172	285	44
173	287	42
174	288	41
175	290	39
176	292	38
177	294	36
178	296	34
179	298	33
180	299	31
181	301	29
182	303	28
183	305	26
184	307	24
185	309	23
186	310	21
187	312	19
188	314	18
189	315	16
190	317	14
191	319	13
192	321	11
193	322	9
194	324	8
195	326	6
196	328	4
197	329	3
198	331	1
199	332	0
