title,author,length
He Who Fights with Monsters 12: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 26 mins
Ghostsong,By: pirateaba,Length: 21 hrs and 39 mins
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs
Verminslayer,By: David Guymer,Length: 9 hrs and 33 mins
The Primal Hunter 11,By: Zogarth,Length: 23 hrs and 31 mins
Why Nothing Works,By: Marc J. Dunkelman,Length: 13 hrs and 31 mins
Spare Me,"By: Anthony Cumia, Johnny Russo - foreword",Length: 3 hrs and 3 mins
The Secret of Secrets,By: Dan Brown,Length: 20 hrs
Gateway,By: Craig Alanson,Length: 21 hrs and 40 mins
Paper Roses,By: Lily Morton,Length: 9 hrs and 39 mins
"The Dark Healer, Book 2","By: Nadya Lee, Alex Toxic, Dan Veksler - translator",Length: 7 hrs and 53 mins
"Unintended Cultivator, Volume Five",By: Eric Dontigney,Length: 12 hrs and 58 mins
Age of Glass,By: Jez Cajiao,Length: 20 hrs and 14 mins
Thorns of Blood,By: Eva Winners,Length: 10 hrs and 22 mins
For Whom the Belle Tolls,By: Jaysea Lynn,Length: 22 hrs
The Primal of Blood and Bone,By: Jennifer L. Armentrout,Length: 24 hrs
Awake,By: Jen Hatmaker,Length: 5 hrs and 30 mins
Battle Mountain,By: C.J. Box,Length: 10 hrs and 2 mins
All the Skills 5: A Deck-Building LitRPG,By: Honour Rae,Length: 12 hrs and 27 mins
Seven Things You Can't Say About China,By: Tom Cotton,Length: 4 hrs and 33 mins
Hand of the Queen,By: John Conroe,Length: 9 hrs and 13 mins
What Kind of Mother,By: Anna-Lou Weatherley,Length: 11 hrs and 23 mins
Exit Strategy,"By: Lee Child, Andrew Child",Length: 12 hrs
Who Is Government?,By: Michael Lewis,Length: 13 hrs
Never Flinch,By: Stephen King,Length: 20 hrs
Four to Score,By: Janet Evanovich,Length: 7 hrs and 57 mins
Denied Access,"By: Vince Flynn, Don Bentley",Length: 13 hrs
Sunrise on the Reaping,By: Suzanne Collins,Length: Not Yet Known
Find My Daughter,By: Jennifer Chase,Length: 9 hrs and 56 mins
Beatitude,By: DJ Krimmer,Length: 3 hrs and 16 mins
Anathema,By: Keri Lake,Length: 21 hrs and 18 mins
Contention,By: Sean Oswald,Length: 15 hrs and 16 mins
King of Envy,By: Ana Huang,Length: 16 hrs
Stuck,By: Yoni Appelbaum,Length: 9 hrs and 40 mins
"Love, Mom",By: Iliana Xander,Length: 9 hrs and 37 mins
House of Flame and Shadows (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 12 hrs
The Next Chapters,By: Haley Cass,Length: 4 hrs and 38 mins
Nightshade,By: Michael Connelly,Length: 11 hrs and 30 mins
The Halls of Magic: Volume 2,"By: Annabelle Hawthorne, M.E. Thorne",Length: 14 hrs
Savage Awakening 4,By: Adastra339,Length: 20 hrs and 2 mins
The Path of Ascension 8,By: C. Mantis,Length: 27 hrs and 23 mins
The Tenant,By: Freida McFadden,Length: 9 hrs and 43 mins
The Last Guy on Earth,By: Sarina Bowen,Length: 9 hrs and 17 mins
The Seven Rings,By: Nora Roberts,Length: 14 hrs and 30 mins
Easy Does It,By: Jasmine Webb,Length: 5 hrs and 19 mins
Royal Dragons,"By: Marcus Sloss, Jace Cannon",Length: 21 hrs
Point of Impact,"By: J.N. Chaney, Terry Maggert",Length: 9 hrs and 26 mins
Ben Hur,By: Lew Wallace,Length: 22 hrs and 34 mins
"Heretical Fishing 4: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",By: Haylock Jobson,Length: 21 hrs and 6 mins
Cry Havoc,By: Jack Carr,Length: 15 hrs and 30 mins
A Kingdom of Flesh and Fire (Part 2 of 2) (Dramatized Adaptation),By: Jennifer L. Armentrout,Length: 9 hrs
Lorne,By: Susan Morrison,Length: 22 hrs and 50 mins
Garden of Sanctuary,By: pirateaba,Length: 32 hrs and 59 mins
Framed in Death,By: J. D. Robb,Length: 12 hrs and 51 mins
Caught Up,By: Navessa Allen,Length: Not Yet Known
My Bloody Valentine,By: Mila Crawford,Length: 2 hrs and 7 mins
The Hallmarked Man,By: Robert Galbraith,Length: 32 hrs
The Fall Risk,By: Abby Jimenez,Length: 1 hr and 48 mins
Daughter of the Dragon,By: Michael G. Manning,Length: 16 hrs and 44 mins
Promise Me Forever,By: Sadie Kincaid,Length: 12 hrs and 17 mins
The Snowball Effect,By: Haley Cass,Length: 19 hrs
The Fallen and the Kiss of Dusk,By: Carissa Broadbent,Length: 17 hrs and 46 mins
The War of the Noobs,By: Ryan Rimmel,Length: 16 hrs and 7 mins
When Wizards Follow Fools,By: Andrew Rowe,Length: 21 hrs and 2 mins
Candy Apples and Clairvoyants,By: Danielle Garrett,Length: 1 hr and 14 mins
Poetry on Ice,By: Jesse H Reign,Length: 8 hrs and 50 mins
Say You'll Remember Me,By: Abby Jimenez,Length: 10 hrs
How to Love Better,By: Yung Pueblo,Length: 8 hrs
The Technological Republic,"By: Alexander C. Karp, Nicholas W. Zamiska",Length: 6 hrs and 50 mins
Zealot's Eleventh Crusade,By: A. F. Kay,Length: 15 hrs and 6 mins
The Quiet Librarian,By: Allen Eskens,Length: 8 hrs and 12 mins
Accidental Goblin King Omnibus: Books 1-4,By: Leon West,Length: 43 hrs and 9 mins
Who Better Than You?,By: Will Packer,Length: 7 hrs and 35 mins
Murder in an Irish Garden,By: Carlene O'Connor,Length: 9 hrs and 35 mins
Hungerstone,By: Kat Dunn,Length: 10 hrs and 15 mins
The Fox and the Falcon,By: Piper CJ,Length: 13 hrs and 35 mins
The Betrayed,"By: Jason Anspach, Nick Cole",Length: 8 hrs and 28 mins
Control,By: Sean Oswald,Length: 16 hrs and 40 mins
Everything Is Tuberculosis,By: John Green,Length: 5 hrs and 36 mins
West Peak,By: C Peinhopf,Length: 20 hrs and 54 mins
The Reckoning (Part 2 of 2) (Dramatized Adaptation),"By: Susanne Valenti, Caroline Peckham",Length: 7 hrs
The Haunting of Starlight Manor,"By: Vincent Valentean, Marie Wilkens, Clay Wise",Length: 32 hrs and 21 mins
Peacocks,"By: Lucy Lennox, May Archer",Length: 3 hrs and 39 mins
Midnight Black,By: Mark Greaney,Length: Not Yet Known
50+ Great Novellas and Short Stories. Vol. 1,"By: O. Henry, Charlotte Perkins Gilman, Katherine Mansfield, Willa Cather, James Joyce, D. H. Lawrence, Franz Kafka, Fiodor Dostoievski, Sherwood Anderson, Virginia Woolf, Ring Lardner, John Galsworthy, Joseph Conrad, F. Scott Fitzgerald, Ernest Hemingway",Length: 42 hrs and 33 mins
Him,By: JD Kirk,Length: 9 hrs and 28 mins
Great Big Beautiful Life,By: Emily Henry,Length: 11 hrs and 30 mins
Heidi,By: Johanna Spyri,Length: 5 hrs and 29 mins
Dark Princess Ascending,By: I. T. Lucas,Length: 8 hrs and 59 mins
Rebel Witch,By: Kristen Ciccarelli,Length: 13 hrs and 43 mins
Meditations Marcus Aurelius: The Complete 12 Books (Translated and Annotated),By: Marcus Aurelius,Length: 10 hrs and 10 mins
"Gemini Group® BoxSet Volume 2, Books 5-7",By: Riley Edwards,Length: 26 hrs and 1 min
Make Money Easy,By: Lewis Howes,Length: 7 hrs and 19 mins
Wild Side,By: Elsie Silver,Length: 12 hrs and 17 mins
The Next Conversation,By: Jefferson Fisher,Length: 6 hrs and 35 mins
The End of the World as We Know It,"By: Christopher Golden - contributor, Brian Keene - contributor, Stephen King - introduction",Length: 26 hrs and 30 mins
Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
Hang On St. Christopher,By: Adrian McKinty,Length: 9 hrs
Lead Like You Mean It,By: Laysha Ward,Length: 7 hrs and 18 mins
Graveyard of Demons,By: Larry Correia,Length: Not Yet Known
Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 49 mins
Indiscretion,By: Vi Keeland,Length: 8 hrs and 49 mins
Throne of Glass (Dramatized Adaptation),By: Sarah J. Maas,Length: 11 hrs
Meditations Marcus Aurelius: The Complete 12 Books (Translated and Annotated),By: Marcus Aurelius,Length: 10 hrs and 10 mins
Wish upon the Stars 5,By: Malcolm Tent,Length: 14 hrs and 14 mins
