Tarih,Ev Sahibi Takım,Maç Sonucu,Konuk Takım
10-08-2024,Fenerbahce,1 - 0,Adana Demirspor
17-08-2024,Adana Demirspor,1 - 2,Rizespor
25-08-2024,Kasimpasa,2 - 2,Adana Demirspor
31-08-2024,Adana Demirspor,1 - 5,Galatasaray
16-09-2024,Antalyaspor,2 - 1,Adana Demirspor
22-09-2024,Adana Demirspor,0 - 2,Alanyaspor
29-09-2024,Bodrumspor,3 - 1,Adana Demirspor
06-10-2024,Adana Demirspor,1 - 3,Samsunspor
25-10-2024,Adana Demirspor,2 - 4,Sivasspor
02-11-2024,Kayserispor,0 - 0,Adana Demirspor
09-11-2024,Adana Demirspor,0 - 1,Eyüpspor
25-11-2024,Trabzonspor,5 - 0,Adana Demirspor
30-11-2024,Adana Demirspor,0 - 1,Konyaspor
07-12-2024,Göztepe AŞ,3 - 1,Adana Demirspor
16-12-2024,Adana Demirspor,2 - 1,Besiktas
23-12-2024,Hatayspor,1 - 3,Adana Demirspor
04-01-2025,Adana Demirspor,0 - 1,Buyuksehyr
12-01-2025,Gaziantep F.K.,1 - 0,Adana Demirspor
19-01-2025,Adana Demirspor,0 - 4,Fenerbahce
26-01-2025,Rizespor,3 - 2,Adana Demirspor
02-02-2025,Adana Demirspor,3 - 5,Kasimpasa
11-08-2024,Alanyaspor,1 - 1,Eyüpspor
18-08-2024,Buyuksehyr,4 - 2,Alanyaspor
23-08-2024,Alanyaspor,1 - 1,Göztepe AŞ
30-08-2024,Fenerbahce,3 - 0,Alanyaspor
15-09-2024,Alanyaspor,0 - 0,Hatayspor
22-09-2024,Adana Demirspor,0 - 2,Alanyaspor
28-09-2024,Alanyaspor,1 - 0,Rizespor
06-10-2024,Galatasaray,1 - 0,Alanyaspor
20-10-2024,Alanyaspor,1 - 2,Kasimpasa
27-10-2024,Alanyaspor,1 - 2,Antalyaspor
03-11-2024,Bodrumspor,0 - 0,Alanyaspor
24-11-2024,Samsunspor,1 - 1,Alanyaspor
30-11-2024,Alanyaspor,2 - 1,Trabzonspor
08-12-2024,Kayserispor,2 - 0,Alanyaspor
14-12-2024,Alanyaspor,3 - 0,Gaziantep F.K.
21-12-2024,Besiktas,1 - 1,Alanyaspor
03-01-2025,Alanyaspor,2 - 1,Konyaspor
12-01-2025,Sivasspor,1 - 1,Alanyaspor
19-01-2025,Eyüpspor,3 - 0,Alanyaspor
25-01-2025,Alanyaspor,5 - 4,Buyuksehyr
02-02-2025,Göztepe AŞ,0 - 1,Alanyaspor
09-02-2025,Alanyaspor,0 - 2,Fenerbahce
10-08-2024,Antalyaspor,0 - 0,Göztepe AŞ
18-08-2024,Besiktas,4 - 2,Antalyaspor
25-08-2024,Antalyaspor,3 - 2,Hatayspor
01-09-2024,Buyuksehyr,5 - 2,Antalyaspor
16-09-2024,Antalyaspor,2 - 1,Adana Demirspor
22-09-2024,Kasimpasa,0 - 0,Antalyaspor
29-09-2024,Antalyaspor,0 - 2,Fenerbahce
04-10-2024,Rizespor,2 - 1,Antalyaspor
19-10-2024,Antalyaspor,0 - 3,Galatasaray
27-10-2024,Alanyaspor,1 - 2,Antalyaspor
04-11-2024,Samsunspor,2 - 0,Antalyaspor
09-11-2024,Antalyaspor,3 - 2,Bodrumspor
29-11-2024,Antalyaspor,2 - 1,Sivasspor
07-12-2024,Konyaspor,1 - 1,Antalyaspor
15-12-2024,Antalyaspor,2 - 0,Kayserispor
22-12-2024,Gaziantep F.K.,2 - 0,Antalyaspor
04-01-2025,Antalyaspor,1 - 4,Eyüpspor
12-01-2025,Trabzonspor,5 - 0,Antalyaspor
19-01-2025,Göztepe AŞ,1 - 0,Antalyaspor
26-01-2025,Antalyaspor,1 - 1,Besiktas
