title,author,length
Toxic,Nicole Blanchard,Length: 7 hrs and 18 mins
Playing Mr. Perfect: Clay Braden,Melissa Foster,Length: 11 hrs and 36 mins
He Who Fights with Monsters 12: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 20 hrs and 26 mins
Rise of the Weakest Summoner: Volume X,J.R. Saileri,Length: 17 hrs and 39 mins
Comeback,Rebecca Jenshak,Length: 10 hrs and 19 mins
Murder on the Cornish Coast,Helena Dixon,Length: 7 hrs and 27 mins
Lakeside Cougars 2,Misty Vixen,Length: 8 hrs and 37 mins
"Medical Medium Angels, Demons & Spiritual Tools",Anthony William,Length: 7 hrs and 30 mins
Ghostsong,pirateaba,Length: 21 hrs and 39 mins
Hidden Angels,Carolyn Arnold,Length: 9 hrs and 28 mins
Pippin & Nacho,Courtney W. Dixon,Length: 7 hrs and 53 mins
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs
Equal & Opposite,Dan Willis,Length: 11 hrs
The Primal Hunter 11,Zogarth,Length: 23 hrs and 31 mins
The King's Queen,K. M. Shea,Length: 13 hrs and 23 mins
All or Nothing,Michael Wolff,Length: 14 hrs and 59 mins
Gateway,Craig Alanson,Length: 21 hrs and 40 mins
You Give Me That Feeling,Julie Kriss,Length: 7 hrs and 36 mins
Warrior of the Drowned Empire,Frankie Diane Mallis,Length: 24 hrs and 1 min
The Radio Beasts,Ralph Milne Farley,Length: 8 hrs and 7 mins
Isekai General,"Alex Tanway,Marcus Sloss",Length: 10 hrs and 1 min
Looking at Women Looking at War,Victoria Amelina,Length: 9 hrs and 52 mins
Uncommon Favor,Dawn Staley,Length: 8 hrs
Awake,Jen Hatmaker,Length: 5 hrs and 30 mins
The King's Shadow,K. M. Shea,Length: 10 hrs and 35 mins
The Dark Mirror,Samantha Shannon,Length: 19 hrs and 15 mins
A Man Named Baskerville,Jim Nelson,Length: 8 hrs and 26 mins
"One Love - Two Hearts - Three Stories: A Pride & Prejudice Anthology: The Library, Married!, Ramsgate",J Dawn King,Length: 8 hrs and 12 mins
The Secret of Secrets,Dan Brown,Length: 20 hrs
Iron Gold (Part 2 of 2) (Dramatized Adaptation),Pierce Brown,Length: 9 hrs
Hero Support,Stoham Baginbott,Length: 6 hrs and 5 mins
For Whom the Belle Tolls,Jaysea Lynn,Length: 22 hrs
Daddy's Sinner,Luna K. Wicked,Length: 10 hrs and 1 min
Battle Mountain,C.J. Box,Length: 10 hrs and 2 mins
System Awakening,Sean Dunning,Length: 22 hrs and 10 mins
Silver Borne (Dramatized Adaptation),Patricia Briggs,Length: 8 hrs
Blood Knight: Portal of Gold,Edie Skye,Length: 11 hrs and 15 mins
The Primal of Blood and Bone,Jennifer L. Armentrout,Length: 24 hrs
When We Burn,Kristen Proby,Length: 8 hrs and 45 mins
